 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.03900100000000E-0002  3.99999700000000E-0001  9.09400000000000E+0003
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.06950000000000E-0002  4.00000000000000E-0001  9.15700000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.13050000000000E-0002  4.00000000000000E-0001  9.26600000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.19150000000000E-0002  4.00000000000000E-0001  9.37500000000000E+0003
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.25250100000000E-0002  4.00000000000000E-0001  9.43800000000000E+0003
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.28300000000000E-0002  4.00000000000000E-0001  9.51600000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.34400000000000E-0002  4.00000000000000E-0001  9.57900000000000E+0003
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.40500000000000E-0002  4.00000000000000E-0001  9.67200000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.46600100000000E-0002  4.00000000000000E-0001  9.78200000000000E+0003
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.52700100000000E-0002  4.00000000000000E-0001  9.84400000000000E+0003
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.55750000000000E-0002  4.00000000000000E-0001  9.92200000000000E+0003
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.64900000000000E-0002  4.00000000000000E-0001  1.00160000000000E+0004
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.71000000000000E-0002  4.00000000000000E-0001  1.01250000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.74050000000000E-0002  4.00000000000000E-0001  1.01880000000000E+0004
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.80150000000000E-0002  4.00000000000000E-0001  1.02500000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.83200000000000E-0002  4.00000000000000E-0001  1.03290000000000E+0004
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.92350000000000E-0002  4.00000000000000E-0001  1.04220000000000E+0004
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.98450000000000E-0002  4.00000000000000E-0001  1.05320000000000E+0004
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.01500000000000E-0002  4.00000000000000E-0001  1.05940000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.07600000000000E-0002  4.00000000000000E-0001  1.06720000000000E+0004
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.13700100000000E-0002  4.00000000000000E-0001  1.07820000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.19800100000000E-0002  4.00000000000000E-0001  1.08750000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.22850000000000E-0002  4.00000000000000E-0001  1.09380000000000E+0004
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.28950100000000E-0002  4.00000000000000E-0001  1.10000000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.32000000000000E-0002  4.00000000000000E-0001  1.10630000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.35050100000000E-0002  4.00000000000000E-0001  1.11250000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.41150100000000E-0002  4.00000000000000E-0001  1.12190000000000E+0004
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.50300000000000E-0002  4.00000000000000E-0001  1.13440000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.56400000000000E-0002  4.00000000000000E-0001  1.14070000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.59450000000000E-0002  4.00000000000000E-0001  1.14850000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.65550000000000E-0002  4.00000000000000E-0001  1.15470000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.68600000000000E-0002  4.00000000000000E-0001  1.16100000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.71650000000000E-0002  4.00000000000000E-0001  1.16720000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.80800000000000E-0002  4.00000000000000E-0001  1.17660000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.86900000000000E-0002  4.00000000000000E-0001  1.18910000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.93000000000000E-0002  4.00000000000000E-0001  1.19540000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.96050100000000E-0002  4.00000000000000E-0001  1.20160000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.99100000000000E-0002  4.00000000000000E-0001  1.20790000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.05200000000000E-0002  4.00000000000000E-0001  1.21720000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.08250000000000E-0002  4.00000000000000E-0001  1.22350000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.14350000000000E-0002  4.00000000000000E-0001  1.22970000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.17400100000000E-0002  4.00000000000000E-0001  1.23750000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.26550000000000E-0002  4.00000000000000E-0001  1.24690000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.29600000000000E-0002  4.00000000000000E-0001  1.25320000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.35699900000000E-0002  4.00000000000000E-0001  1.26250000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.41800000000000E-0002  4.00000000000000E-0001  1.27040000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.44850100000000E-0002  4.00000000000000E-0001  1.27660000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.50950100000000E-0002  4.00000000000000E-0001  1.28600000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.60100000000000E-0002  4.00000000000000E-0001  1.29690000000000E+0004
